[2026-02-02 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-02 00:30:01] Force level: 0 (0=normal, 1=check missing, 2=full bypass)
[2026-02-02 00:30:01] Source: CLI (argv)
[2026-02-02 00:30:01] Database connection established
[2026-02-02 00:30:01] [emp_id: 5472] Created new emp_vacation_balance with starting balance 0.08
[2026-02-02 00:30:01] Created 1 new emp_vacation_balance record(s) for newly registered employees
[2026-02-02 00:30:01] Found 423 active employees with balance records to update
[2026-02-02 00:30:01] (Only employees with status=1 will be processed)
[2026-02-02 00:30:03]   [emp_id: 3156] ✓ Updated: 19.18 → 19.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3162] ✓ Updated: 4.16 → 4.33 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3163] ✓ Updated: 7.43 → 7.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3198] ✓ Updated: 42.43 → 42.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3205] ✓ Updated: 19.1 → 19.27 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3209] ✓ Updated: 43.26 → 43.43 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3223] ✓ Updated: 92.18 → 92.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3224] ✓ Updated: 66.93 → 67.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3230] ✓ Updated: 90.35 → 90.52 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3231] ✓ Updated: 2.72 → 2.89 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3233] ✓ Updated: 79.18 → 79.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3249] ✓ Updated: 39.01 → 39.18 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3250] ✓ Updated: 12.01 → 12.18 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3252] ✓ Updated: 12.93 → 13.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3254] ✓ Updated: 23.43 → 23.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3255] ✓ Updated: 19.85 → 20.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3256] ✓ Updated: 16.1 → 16.27 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3263] ✓ Updated: 32.18 → 32.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3265] ✓ Updated: 27.76 → 27.93 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3280] ✓ Updated: 15.68 → 15.85 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3286] ✓ Updated: 17.85 → 18.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3294] ✓ Updated: 15.51 → 15.68 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3321] ✓ Updated: 74.68 → 74.85 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3325] ✓ Updated: 62.43 → 62.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3329] ✓ Updated: 64.76 → 64.93 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3330] ✓ Updated: 64.76 → 64.93 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3332] ✓ Updated: 64.76 → 64.93 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3384] ✓ Updated: 16.93 → 17.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3386] ✓ Updated: 46.93 → 47.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3431] ✓ Updated: 21.35 → 21.52 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3497] ✓ Updated: 11.51 → 11.68 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3532] ✓ Updated: 2.35 → 2.52 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3602] ✓ Updated: 3.92 → 4.09 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3618] ✓ Updated: 25.9 → 26.07 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3622] ✓ Updated: 36.27 → 36.39 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3627] ✓ Updated: 11.85 → 12.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3665] ✓ Updated: 53.43 → 53.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3705] ✓ Updated: 29.6 → 29.72 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3724] ✓ Updated: 46.43 → 46.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3726] ✓ Updated: 62.85 → 63.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3727] ✓ Updated: 67.93 → 68.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3728] ✓ Updated: 12.26 → 12.43 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3767] ✓ Updated: 3.01 → 3.18 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3768] ✓ Updated: 59.26 → 59.43 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3787] ✓ Updated: 59.85 → 60.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3790] ✓ Updated: 4.4 → 4.57 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3795] ✓ Updated: 17.35 → 17.52 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3798] ✓ Updated: 95.76 → 95.93 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3801] ✓ Updated: 4.03 → 4.2 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3802] ✓ Updated: 33.01 → 33.18 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3803] ✓ Updated: 27.43 → 27.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3810] ✓ Updated: 63.43 → 63.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3812] ✓ Updated: 92.43 → 92.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3815] ✓ Updated: 92.43 → 92.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3836] ✓ Updated: 60.1 → 60.27 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3855] ✓ Updated: 53.26 → 53.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3857] ✓ Updated: 56.93 → 57.1 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3862] ✓ Updated: 105.01 → 105.18 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3866] ✓ Updated: 30.26 → 30.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3876] ✓ Updated: 26.43 → 26.6 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3877] ✓ Updated: 51.93 → 52.1 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3897] ✓ Updated: 1.18 → 1.35 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3899] ✓ Updated: 2 → 2.17 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3928] ✓ Updated: 16.26 → 16.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3929] ✓ Updated: 11.26 → 11.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3935] ✓ Updated: 96.26 → 96.43 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3952] ✓ Updated: 77.6 → 77.77 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 3987] ✓ Updated: 16.51 → 16.68 (VALUE CHANGED)
[2026-02-02 00:30:04]   [emp_id: 4059] ✓ Updated: 5.71 → 5.88 (VALUE CHANGED)
