[2026-02-01 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-01 00:30:01] Database connection established
[2026-02-01 00:30:01] Found 422 active employees with balance records to update
[2026-02-01 00:30:01] (Only employees with status=1 will be processed)
[2026-02-01 00:30:03]   [emp_id: 3249] ✓ Refreshed: 38.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3250] ✓ Refreshed: 11.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3252] ✓ Refreshed: 12.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3254] ✓ Refreshed: 23.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3255] ✓ Refreshed: 19.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3256] ✓ Refreshed: 16.02 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3263] ✓ Refreshed: 32.1 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3265] ✓ Refreshed: 27.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3280] ✓ Refreshed: 15.6 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3286] ✓ Refreshed: 17.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3294] ✓ Refreshed: 15.43 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3321] ✓ Refreshed: 74.6 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3325] ✓ Refreshed: 62.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3329] ✓ Refreshed: 64.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3330] ✓ Refreshed: 64.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3332] ✓ Refreshed: 64.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3384] ✓ Refreshed: 16.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3386] ✓ Refreshed: 46.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3431] ✓ Refreshed: 21.27 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3497] ✓ Refreshed: 11.43 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3532] ✓ Refreshed: 2.27 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3602] ✓ Refreshed: 3.84 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3618] ✓ Refreshed: 25.82 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3622] ✓ Refreshed: 36.21 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3627] ✓ Refreshed: 11.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3665] ✓ Refreshed: 53.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3705] ✓ Refreshed: 29.54 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3724] ✓ Refreshed: 46.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3726] ✓ Refreshed: 62.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3727] ✓ Refreshed: 67.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3728] ✓ Refreshed: 12.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3767] ✓ Refreshed: 2.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3768] ✓ Refreshed: 59.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3787] ✓ Refreshed: 59.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3790] ✓ Refreshed: 4.32 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3795] ✓ Refreshed: 17.27 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3798] ✓ Refreshed: 95.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3801] ✓ Refreshed: 3.95 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3802] ✓ Refreshed: 32.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3803] ✓ Refreshed: 27.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3810] ✓ Refreshed: 63.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3812] ✓ Refreshed: 92.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3815] ✓ Refreshed: 92.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3836] ✓ Refreshed: 60.02 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3855] ✓ Refreshed: 53.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3857] ✓ Refreshed: 56.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3862] ✓ Refreshed: 104.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3866] ✓ Refreshed: 30.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3876] ✓ Refreshed: 26.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3877] ✓ Refreshed: 51.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3897] ✓ Refreshed: 1.1 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3899] ✓ Refreshed: 1.92 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3928] ✓ Refreshed: 16.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3929] ✓ Refreshed: 11.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3935] ✓ Refreshed: 96.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3952] ✓ Refreshed: 77.52 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 3987] ✓ Refreshed: 16.43 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4059] ✓ Refreshed: 5.63 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4119] ✓ Refreshed: 59.1 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4120] ✓ Refreshed: 28.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4124] ✓ Refreshed: 29.2 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4133] ✓ Refreshed: 107.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4134] ✓ Refreshed: 28.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4136] ✓ Refreshed: 28.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4150] ✓ Refreshed: 27.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4157] ✓ Refreshed: 20.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4172] ✓ Refreshed: 14.12 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4195] ✓ Refreshed: 64.43 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4215] ✓ Refreshed: 47.1 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4220] ✓ Refreshed: 42.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4273] ✓ Refreshed: 11.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:03]   [emp_id: 4283] ✓ Refreshed: 15.21 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4288] ✓ Refreshed: 1.92 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4315] ✓ Refreshed: 14.6 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4328] ✓ Refreshed: 44.04 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4329] ✓ Refreshed: 7.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4338] ✓ Refreshed: 49.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4340] ✓ Refreshed: 111.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4365] ✓ Refreshed: 62.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4366] ✓ Refreshed: 61.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4403] ✓ Refreshed: 87.68 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4438] ✓ Refreshed: 23.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4473] ✓ Refreshed: 46.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4474] ✓ Refreshed: 4.88 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4493] ✓ Refreshed: 165.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4526] ✓ Refreshed: 38.02 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4528] ✓ Refreshed: 109.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4528] ✓ Refreshed: 109.77 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4532] ✓ Refreshed: 0.36 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4533] ✓ Refreshed: 38.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4565] ✓ Refreshed: 16.87 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4567] ✓ Refreshed: 21.12 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4572] ✓ Refreshed: 60.62 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4631] ✓ Refreshed: 16.87 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4655] ✓ Refreshed: 27.1 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4709] ✓ Refreshed: 42.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4717] ✓ Refreshed: 68.35 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4736] ✓ Refreshed: 30.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4756] ✓ Refreshed: 13.31 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4768] ✓ Refreshed: 15.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4780] ✓ Refreshed: 67.04 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4820] ✓ Refreshed: 101.18 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4824] ✓ Refreshed: 4.36 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4825] ✓ Refreshed: 32.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4837] ✓ Refreshed: 47.03 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4840] ✓ Refreshed: 47.03 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4842] ✓ Refreshed: 46.27 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4843] ✓ Refreshed: 46.8 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4856] ✓ Refreshed: 43.94 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4857] ✓ Refreshed: 26.76 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4858] ✓ Refreshed: 23.64 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4859] ✓ Refreshed: 45.11 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4860] ✓ Refreshed: 9.61 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4861] ✓ Refreshed: 43.07 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4869] ✓ Refreshed: 85.95 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4894] ✓ Refreshed: 9.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4897] ✓ Refreshed: 24.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4899] ✓ Refreshed: 21.02 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4902] ✓ Refreshed: 20.44 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4903] ✓ Refreshed: 22.66 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4905] ✓ Refreshed: 21.32 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4907] ✓ Refreshed: 49.93 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4917] ✓ Refreshed: 18.28 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4918] ✓ Refreshed: 8.05 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4919] ✓ Refreshed: 60.34 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4920] ✓ Refreshed: 7.42 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4921] ✓ Refreshed: 19.51 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4927] ✓ Refreshed: 18.34 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4929] ✓ Refreshed: 19.86 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4930] ✓ Refreshed: 60.63 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4932] ✓ Refreshed: 18.63 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4933] ✓ Refreshed: 22.04 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4949] ✓ Refreshed: 25.47 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4956] ✓ Refreshed: 31.06 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4957] ✓ Refreshed: 26.73 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4962] ✓ Refreshed: 49.29 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4969] ✓ Refreshed: 48.6 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4976] ✓ Refreshed: 11.75 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4984] ✓ Refreshed: 39.85 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 4995] ✓ Refreshed: 51.92 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 5004] ✓ Refreshed: 28.69 (unchanged value, timestamp updated)
[2026-02-01 00:30:04]   [emp_id: 5006] ✓ Refreshed: 28.43 (unchanged value, timestamp updated)
